,Theme,Genre,Title
3817,adult cast adult castadult love polygon love polygonlove,drama romance,sing yesterday
3033,harem,comedy drama romance,ai yori aoshi
3011,historical martial arts martial artsmartial mythology,action adventure fantasy romance,wonderland ten thousands nd season
1163,military,action adventure sci fi,xam 'd lost memories
867,iyashikei,gourmet slice life slice lifeslice,today 's menu emiya family
926,gag humor gag humorgag parody school,comedy,zan sayonara zetsubou sensei ova zan sayonara zetsubou sensei man 's land zszsb
997,adult cast adult castadult detective mecha military,action mystery sci fi,ghost shell stand alone complex solid state society
2922,isekai magical sex magical sex shift magical sex shiftmagical magical sex shiftmagical sex parody,adventure comedy fantasy,life ordinary guy reincarnated total fantasy knockout
1255,otaku culture otaku cultureotaku school,boys love boys loveboys,sasaki miyano tiny episode realized feelings
1745,detective,adventure comedy mystery,detective conan movie jolly roger deep azure
210,team sports team sportsteam,sports,major th season
1577,school strategy game strategy gamestrategy,comedy,frag
59,every,action fantasy supernatural,fate stay night heaven 's feel iii spring song
1621,harem vampire,action comedy fantasy ecchi,zombie dead
3382,music reverse harem reverse haremreverse school visual arts visual artsvisual,fantasy romance,magic kyun renaissance
3765,mahou shoujo mahou shoujomahou,action fantasy,pretty cure stars gogo dream live
1362,school,action fantasy,jujutsu kaisen season recaps
765,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc gag humor gag humorgag,comedy girls love girls lovegirls,yuru yuri ova yuruyuri nachuyachumi yuru yuri summer vacation
2019,iyashikei school,slice life slice lifeslice,amanchu episode story promised summer new memories
1558,strategy game strategy gamestrategy,adventure,yu gi oh dark side dimensions yugioh
1078,mecha super power super powersuper,action drama,mazinger edition z impact
1537,historical,drama,long
1952,super power super powersuper,action supernatural,hitori shita outcast
1909,adult cast adult castadult detective psychological,action mystery sci fi suspense,psycho pass
2629,mahou shoujo mahou shoujomahou,action fantasy,fate kaleid liner prisma illya licht nameless girl
582,adult cast adult castadult detective mecha psychological,action sci fi,ghost shell
1210,super power super powersuper,action supernatural,k seven stories memory red burn
1123,gag humor gag humorgag school,comedy,mitsudomoe dai ni ki mitsudomoe ki
940,school,adventure comedy fantasy,little witch academia enchanted parade
1080,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei,slice life slice lifeslice,tamayura kanketsu hen movie
187,every,adventure drama supernatural,eternity
1691,parody,comedy,melancholy haruhi chan suzumiya
2232,every,action adventure comedy drama fantasy,pok mon rise darkrai
2589,every,comedy sci fi,sergeant frog movie
1807,mahou shoujo mahou shoujomahou,action comedy drama fantasy,magical girl lyrical nanoha
3692,historical,drama supernatural,buddha endless journey
3549,otaku culture otaku cultureotaku reverse harem reverse haremreverse school,comedy romance,kiss
226,psychological time time travel time traveltime,mystery supernatural suspense,erased
1511,romantic subtext romantic subtextromantic school,comedy,clueless first friend
535,school super power super powersuper,action,hero academia season
1850,super power super powersuper,action drama supernatural,k seven stories r b blaze
2689,mecha military,adventure comedy sci fi,dai guard terrestrial defense corp
697,school super power super powersuper,action,hero academia season
1436,every,action adventure mystery,daughter faces
2636,military space,nan,attack titan dome soldiers ' starry sky
3723,every,slice life slice lifeslice,long
3504,otaku culture otaku cultureotaku school,comedy,watamote matter look 's guys ' fault 'm popular ova
1831,adult cast adult castadult detective workplace,action comedy,'re arrest fast furious
1037,adult cast adult castadult mecha military,action fantasy,broken blade
208,school,drama romance supernatural,rascal dream knapsack kid
3224,school,slice life slice lifeslice supernatural,summer colored miracle
565,gag humor gag humorgag love polygon love polygonlove school,comedy romance,school rumble nd semester
313,adult cast adult castadult psychological time time travel time traveltime,comedy mystery romance suspense,tatami time machine blues
601,mecha military space,action drama sci fi,mobile suit gundam seed freedom
233,historical love polygon love polygonlove music school,drama romance,kids slope
1739,super power super powersuper,action fantasy sci fi,toaru kagaku railgun ova toaru kagaku choudenjihou ova certain scientific railgun ova
2591,school team sports team sportsteam,comedy sports,kuroko 's basketball would like chat ova
3117,love polygon love polygonlove vampire,drama mystery romance supernatural,vampire knight guilty
1322,romantic subtext romantic subtextromantic school,comedy ecchi,kaguya sama love war ova
111,detective psychological,action mystery sci fi suspense,pluto
