,Theme,Genre,Title
1521,mecha super power super powersuper,action sci fi,king braves gaogaigar final grand glorious gathering
136,school team sports team sportsteam,sports,haikyu
628,organized crime organized crimeorganized,action drama suspense,phantom requiem phantom
334,adult cast adult castadult love polygon love polygonlove visual arts visual artsvisual,drama romance,honey clover ii
390,school,drama,skip loafer
3275,school,comedy romance,venus mamoru
1817,every,adventure comedy fantasy,animal lane
3472,time time travel time traveltime,fantasy romance slice life slice lifeslice,rainbow fireflies
710,adult cast adult castadult space,comedy sci fi,space dandy
1039,psychological,supernatural suspense,death note relight
3538,every,adventure comedy sci fi,crayon shin chan invasion alien shiriri
3333,mahou shoujo mahou shoujomahou,drama fantasy,yuki yuna hero sunny place
1561,gore mythology,action drama fantasy,record ragnarok ii
3820,mecha,comedy sci fi,ghost shell stand alone complex solid state society uchikomatic days
3486,every,action adventure comedy sci fi,beyblade g revolution
1112,isekai,adventure comedy fantasy gourmet,campfire cooking another world absurd skill
1223,anthropomorphic music workplace,comedy,aggretsuko
2566,music,nan,ef fairy tale two
1508,school,comedy,one week friends
1750,every,adventure fantasy,pok mon evolutions
3456,super power super powersuper,action sci fi,long
338,performing arts performing artsperforming,sports,welcome ballroom
215,martial arts martial artsmartial,action adventure fantasy sci fi,swallowed star rd season
1341,every,action adventure fantasy,one piece episode luffy adventure hand island
3228,mecha strategy game strategy gamestrategy,action adventure sci fi,rockman exe beast
3614,anthropomorphic,comedy romance,neko para ova
3347,gag humor gag humorgag school,comedy,ordinary life specials
2396,every,action adventure fantasy,carp reborn
2599,school team sports team sportsteam,drama romance sports,mix
2322,school,drama girls love girls lovegirls,strawberry panic
101,otaku culture otaku cultureotaku,comedy drama romance,bakuman season
2754,every,action comedy,assassination classroom jump festa special
171,isekai reincarnation,action comedy fantasy,eminence shadow season
107,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei,slice life slice lifeslice,laid back camp season
2697,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc school,comedy supernatural,stardust telepath
3845,every,mystery,dr fabre detective
2823,every,comedy,crayon shin chan fast asleep great assault dreaming world
3263,mecha super power super powersuper,action romance sci fi supernatural,genesis aquarion ova sousei aquarion uragiri tsubasa sousei aquarion taiyou tsubasa
2947,psychological,action horror mystery,super danganronpa nagito komaeda destroyer world
2611,every,comedy romance ecchi,love hina
2576,educational medical,comedy,cells work common cold
2889,gore space survival,action horror sci fi suspense,terra formars bugs terraformars ova
2997,mecha military,action,code geass akito exiled beloved ones
3308,military school,comedy,long
1040,super power super powersuper,action fantasy sci fi,fire force
2683,military mythology,action fantasy,ghost
2120,every,action comedy drama,nanbaka
1524,historical mythology,fantasy,black butler special
3290,every,comedy,koro sensei quest
2248,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc military school,nan,girls und panzer der film specials
481,mythology,comedy fantasy romance,kamisama kiss ova
3403,mecha military,action adventure award winning award winningaward sci fi,blue submarine
2844,school,comedy romance supernatural,troubled life miss kotoura
1762,every,adventure drama,goodbye glees
3141,super power super powersuper,action adventure comedy sci fi,black cat special
3264,school,comedy drama romance,moment fall love
2657,every,comedy fantasy,level demon lord one room hero
2664,mahou shoujo mahou shoujomahou,action,long
405,detective,action mystery,detective conan movie lost ship sky
757,childcare delinquents mythology school,action comedy supernatural,beelzebub
2515,harem school,action comedy fantasy romance ecchi,trinity seven eternity library alchemic girl
97,iyashikei mythology,slice life slice lifeslice supernatural,natsume 's book friends season
1333,adult cast adult castadult romantic subtext romantic subtextromantic workplace,comedy,senpai annoying
3063,martial arts martial artsmartial,action adventure drama,fist north star legend yuria
3565,martial arts martial artsmartial school,action comedy,fighting beauty wulong rebirth
2528,love polygon love polygonlove school,drama romance,
2058,school,action fantasy,full time magister rd season
3371,historical,comedy drama romance supernatural,fox spirit matchmaker th season little foxspirit matchmaker season enmusubi youko chan
148,iyashikei mythology,slice life slice lifeslice supernatural,natsume 's book friends movie ephemeral bond
28,historical military,action,kingdom season
2628,mahou shoujo mahou shoujomahou,action comedy fantasy,fate kaleid liner prisma illya wei
2531,isekai,adventure comedy fantasy,kuma kuma kuma bear
692,delinquents gag humor gag humorgag school,comedy,cromartie high school
1386,every,action drama mystery sci fi,
1845,psychological super power super powersuper,action sci fi supernatural,towanoquon complicity dreams
2631,mecha,action sci fi,gundam build fighters try
1599,video game video gamevideo,action adventure fantasy,sword art online alicization war underworld part
701,school,comedy,free eternal summer special free iwatobi swim club special free nd season special
1708,iyashikei mythology school,slice life slice lifeslice supernatural,goddess middle school student
454,every,action adventure supernatural,jojo 's bizarre adventure stone ocean part
2040,mecha,action adventure sci fi,gargantia verdurous planet far beyond voyage
2687,martial arts martial artsmartial,action comedy gourmet,ben
2315,historical parody,comedy,hetalia world twinkle surprise halloween
609,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc music,nan,bang dream poppin'dream
167,love polygon love polygonlove school strategy game strategy gamestrategy,drama sports,chihayafull
730,gag humor gag humorgag parody,comedy,mr osomatsu movie
2765,space,adventure comedy sci fi,doraemon movie nobita 's space war little star wars
3454,vampire,action drama romance supernatural,dance vampire bund
2762,school,comedy,love chunibyo delusions heart throb lite shorts
1622,school,comedy drama supernatural,little busters
587,video game video gamevideo,action,king 's avatar glory
1401,martial arts martial artsmartial super power super powersuper,action adventure fantasy,dragon ball super super hero
1700,school,action drama supernatural,lookism
2805,school team sports team sportsteam,comedy sports,knight area
3034,every,mystery suspense,x
1379,school,comedy romance,kubo wo n't let invisible
2089,every,slice life slice lifeslice,mashumaro taimusu raspberry times
2175,every,comedy romance supernatural,ah goddess
2768,every,action sci fi,megaman x day sigma
2473,psychological,adventure comedy fantasy,jing king bandits seventh heaven
3343,detective,adventure comedy mystery romance,detective conan love story police headquarters wedding eve
441,anthropomorphic mythology,comedy drama fantasy,eccentric family
2051,every,fantasy slice life slice lifeslice,miss kobayashi 's dragon maid short animation series
1301,crossdressing school,drama,wandering son specials
3262,showbiz workplace,comedy slice life slice lifeslice,seiyu 's life
1304,super power super powersuper,action,hero academia world heroes ' mission
236,school team sports team sportsteam,sports,kuroko 's basketball
520,historical reverse harem reverse haremreverse,adventure fantasy romance,tales saiunkoku
735,historical martial arts martial artsmartial reincarnation,action adventure fantasy romance,combat continent soul land
3411,adult cast adult castadult workplace,comedy drama romance,working man
2106,harem isekai mecha reincarnation school,action fantasy romance,trapped dating sim world otome games tough mobs
592,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc military school,nan,girls und panzer das finale part
1303,every,action fantasy,arknights perish frost
1387,adult cast adult castadult,comedy romance,nodame cantabile finale episode
2499,every,adventure comedy fantasy,doraemon movie nobita robot kingdom
2856,super power super powersuper vampire,action comedy fantasy,blood blockade battlefront beyond ova
3590,every,fantasy,pok mon twilight wings gathering stars
904,every,adventure comedy romance,long
3267,harem mythology school,action comedy supernatural ecchi,tsugumomo
1279,historical strategy game strategy gamestrategy,nan,legendary gambler tetsuya
3079,every,adventure comedy sci fi,medabots
3707,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc school,slice life slice lifeslice,wakaba girl
2308,every,comedy sci fi,ground control psychoelectric girl special
3061,every,adventure comedy drama fantasy romance,hatenkou yugi
3160,super power super powersuper,action sci fi,toaru majutsu index endymion kiseki omake
3054,adult cast adult castadult space,action adventure sci fi,cobra animation rokunin yuushi
706,psychological,horror mystery supernatural,hell girl two mirrors
3395,every,action supernatural,kamisama dolls
745,detective,action comedy drama mystery,case closed movie fist blue sapphire
1939,every,comedy fantasy,genius prince 's guide raising nation debt
2550,every,comedy sci fi,galaxy angel
513,school,comedy romance,lovely complex
81,mecha psychological,action award winning award winningaward drama sci fi suspense,evangelion + thrice upon time
1308,mecha military,action,full metal panic invisible victory
3197,every,adventure comedy sci fi,digimon tamers runaway locomon
914,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei workplace,slice life slice lifeslice,order rabbit
3552,vampire,action comedy horror supernatural,princess comatose
3536,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc school,comedy,channel
774,childcare workplace,boys love boys loveboys comedy drama,eiga sekaiichi hatsukoi sekai ichi hatsukoi movie
329,every,drama mystery supernatural,xxxholic rou adayume
2054,harem school,comedy romance,nisekoi false love season
2001,adult cast adult castadult gore mythology,action avant garde avant gardeavant horror romance supernatural,beast claw
943,isekai mythology school,comedy fantasy,welcome demon school iruma kun
822,team sports team sportsteam,comedy sports,winter cup highlights episode winter cup highlights crossing door
909,adult cast adult castadult,romance,girl downstairs extra
181,childcare iyashikei visual arts visual artsvisual,slice life slice lifeslice,barakamon
164,anthropomorphic,action drama fantasy mystery,land lustrous
1523,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc school,slice life slice lifeslice,hello kiniro mosaic special
451,every,adventure drama supernatural,eternity season
1311,iyashikei,fantasy slice life slice lifeslice,hakumei mikochi screws beds fireplaces gambling
1111,delinquents time time travel time traveltime,action drama supernatural,tokyo revengers christmas showdown
3194,mecha military,action sci fi,appleseed
1287,school team sports team sportsteam,comedy sports,kuroko basketball would mind
327,every,action adventure fantasy,one piece episode merry tale one friend
1790,racing,sports,yowapeda road
2490,historical,adventure drama romance,legend condor hero ii
3415,every,comedy fantasy slice life slice lifeslice,gargoyle yoshinaga house
2007,every,sci fi,otome ifr
1858,every,mystery,detective conan magic file shinichi ran memories mahjong tiles tanabata
312,love polygon love polygonlove school,comedy romance,teen romantic comedy snafu
832,performing arts performing artsperforming school,drama romance,anthem heart
1201,mythology,action adventure fantasy,idaten deities know peace
2964,every,comedy fantasy,one piece django 's dance carnival
2522,every,comedy,gurren lagann viral 's sweet dream
2134,space,adventure fantasy sci fi,doraemon movie chronicle moon exploration
2209,mecha,action romance sci fi,zegapain
2973,school,comedy sports ecchi,long
1481,detective,adventure drama romance sci fi,osamu tezuka 's metropolis robotic angel
777,every,action adventure fantasy,magi adventure sinbad
799,adult cast adult castadult otaku culture otaku cultureotaku workplace,boys love boys loveboys,sekai ichi hatsukoi world 's greatest first love
54,every,drama fantasy,violet evergarden
1920,mecha music psychological,action award winning award winningaward drama mystery romance sci fi,rahxephon
3320,historical martial arts martial artsmartial,action adventure fantasy romance,lord xue ying snow eagle lord
2760,every,drama fantasy sci fi,yobi five tailed fox
1701,isekai reincarnation reverse harem reverse haremreverse school,comedy fantasy romance,next life villainess routes lead doom
2161,harem isekai school,action adventure comedy fantasy romance ecchi,familiar zero rondo princesses
3616,love polygon love polygonlove school,drama romance,peach girl super pop love hurricane
987,school,comedy,please take brother away kuai ba wo ge dai zou
2757,military mythology strategy game strategy gamestrategy,adventure sci fi,battlespirits brave battle spirits season
1394,historical martial arts martial artsmartial samurai super power super powersuper,action fantasy,sengoku basara samurai kings movie
768,mythology,comedy fantasy,noragami aragoto oad
3410,isekai mythology reverse harem reverse haremreverse,fantasy romance,haruka beyond stream time tale eight guardians
285,idols male idols male idols music,drama,idolish third beat
3389,historical martial arts martial artsmartial,action fantasy,qin 's moon great wall
428,martial arts martial artsmartial super power super powersuper,action adventure supernatural,saint seiya lost canvas
2332,isekai,adventure comedy fantasy,kuma kuma kuma bear nd season bears bear bare kuma nd season
2079,every,action adventure,allison lillia
722,historical reverse harem reverse haremreverse,adventure fantasy romance,story saiunkoku
951,music,nan,gekijouban bang dream episode roselia
3053,school super power super powersuper,action drama fantasy,brs ova
2262,vampire,action fantasy,trinity blood
989,martial arts martial artsmartial mythology,action adventure fantasy romance supernatural,fights break sphere rd season
3596,combat sports combat sportscombat,drama sports,tiger mask w
2600,harem,comedy fantasy romance ecchi,drift blue orchid island casted away airan island
326,adult cast adult castadult combat sports combat sportscombat,sci fi sports,megalobox nomad
1383,mahou shoujo mahou shoujomahou,comedy fantasy,useless witch doremi
1724,mecha,action adventure sci fi,gargantia verdurous planet
1086,every,adventure drama fantasy,kino 's journey beautiful world land sickness land illness land disease
3095,adult cast adult castadult,action adventure comedy,rupan sansei alcatraz connection
341,every,action fantasy supernatural,fate stay night unlimited blade works
147,adult cast adult castadult historical mythology psychological,horror mystery supernatural suspense,mononoke
2994,gore,action adventure fantasy ecchi,bastard heavy metal dark fantasy season
1107,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei,comedy slice life slice lifeslice,strawberry marshmallow encore
848,every,fantasy slice life slice lifeslice,miss kobayashi 's dragon maid japanese hospitality attendant dragon
966,detective,comedy drama mystery,detective school q
3156,isekai music,comedy fantasy,show rock
2203,long,action mystery supernatural,speed grapher
661,historical military,action,kingdom
1002,every,action adventure comedy fantasy,pok mon origins
2998,every,adventure comedy sci fi,corrector yui
3230,adult cast adult castadult military space,action drama sci fi,long
3001,martial arts martial artsmartial,action adventure,soulmate adventure
3414,every,avant garde avant gardeavant horror supernatural,theatre darkness yamishibai
1879,adult cast adult castadult time time travel time traveltime,drama romance,remake life
3630,mythology,comedy,chimimo
1203,mecha space,action sci fi,knights sidonia
1990,mecha,adventure comedy sci fi,mazinkaiser
24,vampire,comedy mystery supernatural,owarimonogatari second season
3622,martial arts martial artsmartial,action adventure,batman gotham knight
2596,crossdressing harem school,comedy romance ecchi,mayo chiki
2662,historical,comedy fantasy,one piece detective memoirs chief straw hat luffy
2949,strategy game strategy gamestrategy time time travel time traveltime,adventure,yu gi oh bonds beyond time
875,gore psychological,action fantasy horror suspense,tokyo ghoul
3467,mecha,action drama sci fi,mobile suit gundam seed phase stars
938,mecha military space,action award winning award winningaward drama romance sci fi,mobile suit gundam seed
2394,every,action fantasy sci fi,new gods nezha reborn
3215,harem school,action comedy fantasy romance ecchi,trinity seven
3825,isekai reincarnation reverse harem reverse haremreverse school,comedy drama fantasy romance,next life villainess routes lead doom x met destined one
385,adult cast adult castadult historical military,action adventure,golden kamuy season
2941,historical isekai time time travel time traveltime,drama fantasy romance supernatural,long
3217,historical martial arts martial artsmartial,action fantasy supernatural,wu geng ji rd season legend hero feng shen ji chronicles god 's order
2817,detective psychological,action mystery supernatural suspense,b beginning
2291,adult cast adult castadult gag humor gag humorgag music parody showbiz,comedy,detroit metal city birth metal devil
2676,military school,comedy,long
936,mythology,action adventure fantasy sci fi,saint seiya hades chapter inferno
3663,adult cast adult castadult organized crime organized crimeorganized,action romance,love kill
2360,music,comedy,nerima daikon brothers
3764,every,action adventure fantasy,pok mon giratina sky warrior
1332,mythology,action adventure fantasy sci fi,saint seiya hades chapter elysion
1934,every,comedy slice life slice lifeslice supernatural,god troubles nd season
935,harem otaku culture otaku cultureotaku school,comedy romance ecchi,saekano raise boring girlfriend flat
2418,martial arts martial artsmartial school,action comedy,history 's strongest disciple kenichi specials
566,every,comedy supernatural,bungo stray dogs wan
1854,parody,comedy supernatural,black butler ii specials
3107,every,comedy fantasy sci fi,doraemon boku umareta hi
2467,every,action adventure fantasy,dragon nest throne elves
1645,anthropomorphic,comedy,squid girl ova
2718,school,comedy ecchi,today class
1792,harem isekai school,action adventure comedy fantasy romance ecchi,familiar zero f
1430,mecha military,action drama sci fi,mobile suit gundam special edition
2971,every,comedy slice life slice lifeslice,kaginado
1013,super power super powersuper,action fantasy,final fantasy advent children
1928,gore mecha military,action fantasy sci fi,cross ange rondo angel dragon
2885,parody,comedy,higurashi cry kai specials
126,historical mythology reincarnation,action adventure drama fantasy mystery,founder diabolism season
2682,psychological super power super powersuper,action mystery,false memory
1347,delinquents school,comedy sports ecchi,air gear ova
355,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc music school,award winning award winningaward comedy,k season
827,school,romance,angel next door spoils rotten
1639,isekai parody,action adventure comedy fantasy,cautious hero hero overpowered overly cautious
984,adult cast adult castadult psychological,award winning award winningaward mystery romance sci fi suspense,eden east
2188,long,slice life slice lifeslice,hanayamata
3274,every,comedy romance sci fi ecchi,mahoromatic 'm home
2443,super power super powersuper,action adventure fantasy romance,elemental gelade
362,mecha,action sci fi,gurren lagann movie childhood 's end
2349,mecha military space,action sci fi,mobile suit gundam seed special edition
345,time time travel time traveltime,comedy sci fi,stand doraemon
2638,love polygon love polygonlove video game video gamevideo,action adventure fantasy romance,sword art online
3265,martial arts martial artsmartial super power super powersuper,action drama supernatural,tenjhotenge past chapter
711,every,sports,prince tennis national tournament semifinals
2650,idols female idols female idols music,drama,wake girls movie
2641,super power super powersuper,action fantasy sci fi,certain scientific accelerator
10,school,comedy romance,kaguya sama love war ultra romantic
3159,martial arts martial artsmartial super power super powersuper,action fantasy,god high school
2116,idols female idols female idols music,nan,'s final love live special anime
1834,historical,action fantasy,legend exorcism
793,historical martial arts martial artsmartial,action comedy fantasy,eternal
3557,adult cast adult castadult,action adventure comedy mystery,lupin sansei prison past
94,adult cast adult castadult love polygon love polygonlove music,drama romance,nana
129,love polygon love polygonlove school strategy game strategy gamestrategy,drama sports,chihayafull
2371,harem school,comedy romance,bokutachi wa benkyou ga dekinai ova never learn ova
2987,every,adventure mystery supernatural,nanana 's buried treasure
3741,strategy game strategy gamestrategy,action,cardfight vanguard will+dress
2263,every,boys love boys loveboys comedy,hora mimi ga mieteru yo look see ears
1900,harem vampire,adventure comedy romance supernatural ecchi,magister negi magi ala alba magical teacher negima white wing
3205,adult cast adult castadult,boys love boys loveboys comedy slice life slice lifeslice,antidote
3071,every,action fantasy,fog hill five elements
1932,mythology,action fantasy mystery,hakkenden eight dogs east
2749,military vampire,action drama supernatural,seraph end vampire shahar
1865,love polygon love polygonlove,drama romance sci fi,waiting summer
1658,gore super power super powersuper,action fantasy,akame ga kill
516,isekai parody,adventure comedy fantasy,konosuba god 's blessing wonderful world god 's blessing wonderful art
1857,idols female idols female idols music school,slice life slice lifeslice,love live school idol project
2243,adult cast adult castadult gore organized crime organized crimeorganized,action drama sci fi,dogs dogs bullets carnage dogs stray dogs howling dark
1277,every,sports,prince tennis ii vs genius
3726,historical martial arts martial artsmartial,action adventure mystery,youths golden coffin
950,music,comedy,bang dream garupa pico oomori bang dream girls band party pico oomori
1120,historical martial arts martial artsmartial,action fantasy,thousand autumns
2597,detective,adventure comedy mystery,detective conan conan vs kid jet black sniper
2204,super power super powersuper,action mystery sci fi supernatural,towanoquon dancing orchid chaos
419,psychological school,drama suspense,classroom elite ii
922,every,horror mystery supernatural,ghost hunt
2820,school super power super powersuper,action,hero academia make die survival training
477,historical mythology,action fantasy mystery,black butler book circus
2035,every,sports,prince tennis day survival mountain
2791,every,drama fantasy mystery sci fi,children whales
1692,historical,action adventure fantasy supernatural,legend exorcism
2836,educational gag humor gag humorgag mythology workplace,comedy fantasy,heaven 's design team
1471,isekai reincarnation,action adventure fantasy,reincarnated sword
2601,super power super powersuper,action comedy sci fi ecchi,needless
1202,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei,slice life slice lifeslice,strawberry marshmallow
2438,gore,action horror mystery supernatural,ajin demi human movie collide
2626,martial arts martial artsmartial super power super powersuper,action adventure comedy fantasy sci fi,dragon ball episode bardock
1669,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei school visual arts visual artsvisual,slice life slice lifeslice,hidamari sketch
3573,every,comedy fantasy,merman tub
1970,racing space,action adventure sci fi,freedom
2151,mecha,adventure comedy sci fi sports,zoids new century
820,gag humor gag humorgag school,comedy slice life slice lifeslice,har +guu
1997,romantic subtext romantic subtextromantic school,comedy,senryu girl
3695,historical vampire,action fantasy mystery,case study vanitas episode recap
1248,adult cast adult castadult,boys love boys loveboys comedy drama,junjo romantica
3580,music school,slice life slice lifeslice,wakate animator ikusei project young animator training project anime mirai
3421,adult cast adult castadult romantic subtext romantic subtextromantic,comedy,uzaki chan wants hang
2190,otaku culture otaku cultureotaku school,comedy,himouto umaru chan nd season two faced little sister r
3401,mecha psychological,action drama romance sci fi,rahxephon pluralitas concentio
1046,school,comedy romance,monthly girls ' nozaki kun specials
1888,mahou shoujo mahou shoujomahou school,comedy fantasy,shugo chara
2469,detective,adventure comedy mystery,detective conan ova challenge agasa agasa vs conan detective boys
615,strategy game strategy gamestrategy,nan,hikaru go journey north star cup
1318,every,action sci fi,world trigger
3716,school,boys love boys loveboys,mask danshi n't lead love
3754,every,fantasy,kasumin nd series
3768,every,comedy sci fi,keroro gunsou tv keroro gunsou
2136,martial arts martial artsmartial,action sci fi,flash
3151,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc school,comedy sci fi slice life slice lifeslice,gakuen utopia manabi straight episode gakuen utopia manabi straight ova
1772,super power super powersuper,action,hero academia world heroes ' mission take
3798,school vampire,action comedy fantasy romance ecchi,long
131,vampire,comedy mystery supernatural,owarimonogatari
2759,every,action adventure drama fantasy,bleach memories rain
77,combat sports combat sportscombat,sports,fighting spirit rising
2052,school,award winning award winningaward drama romance supernatural,whisker away
724,harem otaku culture otaku cultureotaku,comedy romance supernatural,world god knows ii
1314,video game video gamevideo,action adventure fantasy,sword art online alicization war underworld
1851,every,romance sci fi,one loved
3761,school,romance sci fi,psychic school wars
3524,historical,comedy sports,extra olympia kyklos
3186,school,action fantasy,full time magister th season
1372,video game video gamevideo,action adventure fantasy,sword art online movie ordinal scale
1855,isekai,adventure comedy fantasy,kyou kara maou ova kyou kara maoh r maruma ova
1319,racing,sports,yowamushi pedal th season yowapeda th season
2560,school super power super powersuper,action,hero academia training dead
3702,parody,comedy,certain magical index specials
3161,every,drama,tokyo magnitude special
2780,idols female idols female idols music,comedy drama,idolm ster cinderella girls
375,mythology,action fantasy,noragami aragoto
1908,every,comedy fantasy,onegai melody
333,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc military school,action award winning award winningaward,girls und panzer der film
2890,every,adventure drama romance,pilot 's love song
2951,mecha military space,action sci fi,valvrave liberator
2365,harem super power super powersuper,action comedy ecchi,sekirei pure engagement
1604,anthropomorphic cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei mythology workplace,fantasy girls love girls lovegirls slice life slice lifeslice,konohana kitan
1118,historical,romance,samurai x dvd box special ending
3709,every,action sci fi,hero return
1943,music,adventure award winning award winningaward supernatural,lu wall
2943,historical medical samurai,action award winning award winningaward drama,tree sun
2376,mecha space,action sci fi,gundam reconguista g iv love cries battle
3235,historical,adventure comedy gourmet,shoujo changumu yume janggeum 's dream changumu yume dae jang geum
1342,every,drama sci fi,planetarian reverie little planet
320,school,drama romance,relife final arc
1619,mahou shoujo mahou shoujomahou mythology reincarnation,action drama mystery romance supernatural,phantom thief jeanne divine wind thief jeanne
3132,harem,comedy romance ecchi,saekano fan service love youth
2060,adult cast adult castadult,comedy romance,science fell love tried prove
2219,school,action fantasy,full time magister th season
1673,adult cast adult castadult isekai workplace,fantasy gourmet,isekai izakaya japanese food another world
1942,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei,adventure slice life slice lifeslice,encouragement climb omoide present
260,every,fantasy slice life slice lifeslice,miss kobayashi 's dragon maid
3012,pets,comedy,nights cat season
2039,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc gag humor gag humorgag school,comedy,yuyushiki
689,mecha military music space,action award winning award winningaward romance sci fi,macross frontier
901,every,action mystery romance supernatural suspense,garden sinners chapter study murder part
2306,every,action comedy drama sci fi,daichis earth 's defense family
2026,mahou shoujo mahou shoujomahou,comedy fantasy,twin princesses wonder planet
138,gag humor gag humorgag historical parody samurai,action comedy sci fi,shinsengumi douran hen kabuki chou shitennou hen kabuki chou devas hen gintama best gintama theater
1917,gag humor gag humorgag parody,comedy,mr osomatsu
1828,anthropomorphic,comedy,squid girl
1573,harem,comedy romance supernatural,ah goddess flights fancy specials
319,mahou shoujo mahou shoujomahou,action fantasy,pretty cure stars movie f
653,mecha military super power super powersuper,action drama sci fi,code geass lelouch surrection
2137,school,sports,free iwatobi swim club
2972,historical mecha,action adventure,hiwou war chronicles
558,school,gourmet ecchi,food wars third plate
2187,harem school,romance sci fi,date live ova date live episode
112,historical samurai,action adventure comedy,samurai champloo
531,school,drama romance,kimi ni todoke
224,mecha military,action drama sci fi,eighty six
723,martial arts martial artsmartial school,action comedy,kenichi mightiest disciple ova
3390,harem super power super powersuper,action fantasy mystery,rental magica
3642,every,action adventure fantasy,way choices nd season fighter destiny nd season
1433,adult cast adult castadult,comedy gourmet supernatural,moyasimon tales agriculture
2373,anthropomorphic historical martial arts martial artsmartial mythology,action comedy fantasy mystery,white cat legend season
3149,every,action adventure fantasy,sword oratoria wrong try pick girls dungeon side
3775,adult cast adult castadult,action adventure comedy mystery,lupin iii secret page marco polo
1458,adult cast adult castadult gag humor gag humorgag organized crime organized crimeorganized,comedy,way househusband part
3475,crossdressing school,comedy,princess princess
846,mythology,comedy fantasy,saints street
193,every,drama fantasy,violet evergarden day understand love surely come
1464,harem,comedy fantasy romance sci fi ecchi,heaven 's lost property movie angeloid clockwork
2621,school video game video gamevideo,action romance sci fi,accel world
946,mythology,action adventure drama fantasy,saiyuki reload burial
2021,harem,comedy romance,never learn bokuben church bells bless x
2551,school,comedy slice life slice lifeslice,gj bu guruguru gj bu special gj club special good job bu special gj bu gj bu ova
1629,school,comedy,please take brother away kuai ba wo ge dai zou
117,every,action fantasy supernatural,fate stay night heaven 's feel ii lost butterfly
645,every,comedy romance supernatural ecchi,nekomonogatari black
1870,school,drama sci fi supernatural,twin spica
3,gag humor gag humorgag historical parody samurai,action comedy sci fi,gintama season
74,school,action award winning award winningaward fantasy,jujutsu kaisen
1755,school,comedy drama romance,love chunibyo delusions heart throb rikka wars
467,isekai reincarnation,fantasy,ascendance bookworm season
5,gag humor gag humorgag historical parody samurai,action comedy drama sci fi,gintama final
1246,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei,adventure slice life slice lifeslice,encouragement climb season
919,mahou shoujo mahou shoujomahou,fantasy romance,cardcaptor sakura clear card prologue sakura two bears
2595,every,adventure award winning award winningaward drama,mai mai miracle
228,school team sports team sportsteam,sports,ace diamond second season
1063,childcare gag humor gag humorgag otaku culture otaku cultureotaku workplace,comedy,hidden things movie
2590,mecha military space,action drama romance sci fi,mobile suit gundam seed destiny special edition
242,adult cast adult castadult racing,action sci fi,redline
2921,gore high stakes game high stakes gamehigh high stakes gamehigh stakes survival,action horror sci fi supernatural suspense,deadman wonderland
1160,anthropomorphic workplace,comedy,aggretsuko ona
3227,adult cast adult castadult,comedy gourmet romance,osake wa fuufu ni natte kara special love like cocktail episode
2865,adult cast adult castadult detective psychological,action sci fi,psycho pass sinners system case crime punishment
2563,high stakes game high stakes gamehigh high stakes gamehigh stakes psychological survival,action horror mystery suspense,danganronpa end hope 's peak high school future arc
2671,every,romance,amagami ss dai ni ki specials amagami ss second season specials amagami ss nd season specials
1526,gag humor gag humorgag school,comedy,mitsudomoe
1605,mahou shoujo mahou shoujomahou school,action fantasy slice life slice lifeslice,maho girls precure movie miraculous transformation cure mofurun
3586,gag humor gag humorgag mahou shoujo mahou shoujomahou school,comedy fantasy,magical witch punie chan
3834,every,comedy sci fi,eiga crayon shin chan otakebe kasukabe yasei oukoku crayon shin chan roar kasukabe animal kingdom
2709,martial arts martial artsmartial school,action drama horror mystery,tokyo majin gakuen kenpucho tou kenbu hen tokyo majin gakuen kenpucho tou nd act
2979,martial arts martial artsmartial,action,dragon 's disciple
3268,gore psychological,horror mystery supernatural suspense,umineko cry
1989,every,fantasy,magical sisters yoyo nene
3398,every,adventure comedy sports,beyblade metal masters
2362,every,drama sci fi,aoi tamago
1975,historical,comedy romance supernatural,fox spirit matchmaker th season
1761,harem isekai military,action fantasy romance,realist hero rebuilt kingdom part
1305,mecha military school super power super powersuper,action,code geass lelouch rebellion special edition black rebellion
2739,every,comedy fantasy romance,'m giving disgraced noble lady rescued crash course naughtiness
1541,every,comedy romance supernatural,ah goddess specials
3346,school team sports team sportsteam,drama romance sports,mix season
